og_coord,starfish_coord,dist
"(1883.0, 3356.0)","(1835.0, 3209.0)",154.638
"(1790.0, 3551.0)","(1720.0, 3411.0)",156.525
"(2077.0, 2374.0)","(2082.0, 2532.0)",158.079
"(1843.0, 2435.0)","(1886.0, 2589.0)",159.891
"(1688.0, 1660.0)","(1792.0, 1782.0)",160.312
"(1331.0, 573.0)","(1480.0, 510.0)",161.771
"(2080.0, 3646.0)","(2241.0, 3610.0)",164.976
"(3414.0, 1191.0)","(3569.0, 1251.0)",166.208
"(3514.0, 2437.0)","(3531.0, 2269.0)",168.858
"(1718.0, 3031.0)","(1811.0, 3172.0)",168.908
"(1253.0, 477.0)","(1410.0, 414.0)",169.169
"(3053.0, 3160.0)","(3167.0, 3033.0)",170.66
"(1833.0, 2289.0)","(1694.0, 2189.0)",171.234
"(128.0, 98.0)","(282.0, 174.0)",171.732
"(1359.0, 637.0)","(1480.0, 510.0)",175.414
"(1237.0, 445.0)","(1410.0, 414.0)",175.756
"(1778.0, 2448.0)","(1886.0, 2589.0)",177.609
"(1324.0, 595.0)","(1480.0, 510.0)",177.654
"(407.0, 1671.0)","(461.0, 1843.0)",180.278
"(1306.0, 565.0)","(1480.0, 510.0)",182.486
"(1574.0, 3526.0)","(1485.0, 3366.0)",183.087
"(3517.0, 3432.0)","(3336.0, 3461.0)",183.308
"(2059.0, 3637.0)","(2241.0, 3610.0)",183.992
"(3346.0, 1426.0)","(3512.0, 1508.0)",185.149
"(2484.0, 1130.0)","(2372.0, 1279.0)",186.4
"(2017.0, 3660.0)","(1837.0, 3713.0)",187.641
"(3406.0, 1152.0)","(3569.0, 1251.0)",190.709
"(2028.0, 3648.0)","(1837.0, 3713.0)",201.757
"(1574.0, 3173.0)","(1439.0, 3327.0)",204.795
"(3250.0, 105.0)","(3066.0, 11.0)",206.62
"(3328.0, 110.0)","(3452.0, 278.0)",208.806
"(1542.0, 3135.0)","(1439.0, 3327.0)",217.883
"(319.0, 1621.0)","(151.0, 1796.0)",242.588
"(3570.0, 587.0)","(3321.0, 513.0)",259.763
