og_coord,starfish_coord,dist
"(1997.0, 3287.0)","(2022.0, 3186.0)",104.048
"(1426.0, 1317.0)","(1358.0, 1238.0)",104.235
"(3517.0, 3432.0)","(3499.0, 3329.0)",104.561
"(2167.0, 2272.0)","(2225.0, 2359.0)",104.561
"(2965.0, 1939.0)","(3061.0, 1981.0)",104.785
"(1299.0, 954.0)","(1202.0, 994.0)",104.924
"(2261.0, 3736.0)","(2342.0, 3669.0)",105.119
"(292.0, 452.0)","(191.0, 420.0)",105.948
"(763.0, 909.0)","(657.0, 905.0)",106.075
"(1647.0, 490.0)","(1708.0, 403.0)",106.254
"(3407.0, 2253.0)","(3452.0, 2156.0)",106.93
"(3034.0, 3318.0)","(2936.0, 3273.0)",107.838
"(2964.0, 1924.0)","(2905.0, 1831.0)",110.136
"(1585.0, 599.0)","(1480.0, 634.0)",110.68
"(1418.0, 1428.0)","(1326.0, 1366.0)",110.941
"(2647.0, 2328.0)","(2556.0, 2264.0)",111.252
"(646.0, 1530.0)","(574.0, 1615.0)",111.396
"(1591.0, 621.0)","(1480.0, 634.0)",111.759
"(1265.0, 215.0)","(1285.0, 325.0)",111.803
"(508.0, 42.0)","(477.0, 150.0)",112.361
"(836.0, 973.0)","(948.0, 986.0)",112.752
"(3414.0, 1191.0)","(3500.0, 1264.0)",112.805
"(2050.0, 1373.0)","(2162.0, 1357.0)",113.137
"(1359.0, 637.0)","(1453.0, 700.0)",113.159
"(3171.0, 3398.0)","(3099.0, 3486.0)",113.701
"(128.0, 98.0)","(231.0, 49.0)",114.061
"(770.0, 887.0)","(657.0, 905.0)",114.425
"(1331.0, 573.0)","(1275.0, 473.0)",114.612
"(1028.0, 1938.0)","(1130.0, 1991.0)",114.948
"(2043.0, 3005.0)","(2085.0, 2898.0)",114.948
"(1911.0, 232.0)","(1801.0, 198.0)",115.135
"(701.0, 450.0)","(800.0, 509.0)",115.248
"(3269.0, 3596.0)","(3377.0, 3555.0)",115.521
"(1813.0, 2198.0)","(1895.0, 2280.0)",115.966
"(930.0, 326.0)","(981.0, 221.0)",116.73
"(927.0, 27.0)","(851.0, 116.0)",117.034
"(2834.0, 3650.0)","(2900.0, 3747.0)",117.324
"(3353.0, 2359.0)","(3363.0, 2476.0)",117.427
"(383.0, 2874.0)","(466.0, 2958.0)",118.089
"(3188.0, 1830.0)","(3098.0, 1908.0)",119.097
"(974.0, 2692.0)","(1094.0, 2692.0)",120.0
"(3096.0, 3150.0)","(3207.0, 3104.0)",120.154
"(1444.0, 1342.0)","(1326.0, 1366.0)",120.416
"(374.0, 87.0)","(477.0, 150.0)",120.739
"(1478.0, 1399.0)","(1595.0, 1366.0)",121.565
"(1782.0, 3580.0)","(1660.0, 3592.0)",122.589
"(3406.0, 1152.0)","(3294.0, 1203.0)",123.065
"(789.0, 994.0)","(688.0, 1065.0)",123.458
"(3447.0, 2567.0)","(3363.0, 2476.0)",123.843
"(489.0, 987.0)","(607.0, 948.0)",124.278
"(587.0, 209.0)","(477.0, 150.0)",124.824
"(2265.0, 3541.0)","(2377.0, 3484.0)",125.67
"(1255.0, 190.0)","(1284.0, 67.0)",126.372
"(946.0, 32.0)","(851.0, 116.0)",126.811
"(1814.0, 2182.0)","(1895.0, 2280.0)",127.142
"(1951.0, 3321.0)","(1864.0, 3228.0)",127.35
"(2416.0, 2168.0)","(2512.0, 2083.0)",128.222
"(1599.0, 585.0)","(1480.0, 634.0)",128.693
"(2411.0, 2188.0)","(2465.0, 2305.0)",128.86
"(2663.0, 1557.0)","(2592.0, 1665.0)",129.248
"(1883.0, 3356.0)","(1864.0, 3228.0)",129.402
"(3346.0, 1426.0)","(3225.0, 1378.0)",130.173
"(1830.0, 2762.0)","(1707.0, 2719.0)",130.3
"(3422.0, 2359.0)","(3363.0, 2476.0)",131.034
"(3400.0, 1843.0)","(3418.0, 1713.0)",131.24
"(1324.0, 595.0)","(1275.0, 473.0)",131.472
"(3079.0, 3139.0)","(3207.0, 3104.0)",132.699
"(679.0, 453.0)","(800.0, 509.0)",133.33
"(3465.0, 2650.0)","(3350.0, 2720.0)",134.629
"(3252.0, 356.0)","(3209.0, 484.0)",135.03
"(473.0, 1061.0)","(530.0, 1184.0)",135.565
