og_coord,closest_coord,dist
"(989.456, 9158.473)","(1010.792, 9178.031)",28.944
"(1018.793, 9634.977)","(993.012, 9648.312)",29.026
"(3810.252, 2739.897)","(3787.138, 2757.677)",29.161
"(1331.721, 8403.712)","(1317.497, 8429.493)",29.445
"(2895.471, 5624.7)","(2867.023, 5616.699)",29.552
"(3735.576, 3998.72)","(3727.575, 3970.272)",29.552
"(4059.172, 2199.385)","(4030.724, 2191.384)",29.552
"(2867.023, 5616.699)","(2895.471, 5624.7)",29.552
"(983.233, 9316.715)","(991.234, 9288.267)",29.552
"(991.234, 9288.267)","(983.233, 9316.715)",29.552
"(2733.674, 5223.761)","(2737.23, 5194.424)",29.552
"(4429.885, 2430.525)","(4413.883, 2455.417)",29.592
"(4413.883, 2455.417)","(4429.885, 2430.525)",29.592
"(3090.162, 5182.867)","(3061.714, 5191.757)",29.805
"(3061.714, 5191.757)","(3090.162, 5182.867)",29.805
"(1177.035, 8153.015)","(1201.038, 8135.235)",29.871
"(1201.038, 8135.235)","(1177.035, 8153.015)",29.871
"(3071.493, 5125.971)","(3083.05, 5153.53)",29.884
"(4073.396, 2155.824)","(4046.726, 2170.048)",30.226
"(2677.667, 5237.985)","(2703.448, 5253.987)",30.343
"(2052.7, 5852.284)","(2050.033, 5882.51)",30.343
"(925.449, 9673.204)","(906.78, 9649.201)",30.408
"(1223.263, 8771.758)","(1253.489, 8776.203)",30.551
"(1253.489, 8776.203)","(1223.263, 8771.758)",30.551
"(1263.268, 8721.974)","(1267.713, 8691.748)",30.551
"(3763.135, 2484.754)","(3749.8, 2457.195)",30.616
"(3749.8, 2457.195)","(3763.135, 2484.754)",30.616
"(4558.79, 2202.052)","(4586.349, 2188.717)",30.616
"(4597.906, 2290.952)","(4603.24, 2260.726)",30.693
"(842.772, 9544.299)","(812.546, 9538.965)",30.693
"(812.546, 9538.965)","(842.772, 9544.299)",30.693
"(1928.24, 9330.05)","(1954.021, 9346.941)",30.822
"(1954.021, 9346.941)","(1928.24, 9330.05)",30.822
"(3469.765, 5015.735)","(3499.991, 5009.512)",30.86
"(1787.778, 6639.048)","(1773.554, 6611.489)",31.013
"(1773.554, 6611.489)","(1787.778, 6639.048)",31.013
"(3795.139, 4084.953)","(3826.254, 4082.286)",31.229
"(2730.118, 4958.839)","(2760.344, 4950.838)",31.267
"(5059.296, 2140.711)","(5064.63, 2109.596)",31.569
"(5064.63, 2109.596)","(5059.296, 2140.711)",31.569
"(4797.041, 1870.455)","(4823.711, 1887.346)",31.569
"(4823.711, 1887.346)","(4797.041, 1870.455)",31.569
"(4459.222, 1691.766)","(4476.113, 1665.096)",31.569
"(4476.113, 1665.096)","(4459.222, 1691.766)",31.569
"(2372.74, 5098.412)","(2372.74, 5066.408)",32.004
"(4044.948, 1318.386)","(4044.948, 1350.39)",32.004
"(824.992, 9570.969)","(842.772, 9544.299)",32.053
"(3732.02, 2366.517)","(3733.798, 2398.521)",32.053
"(3733.798, 2398.521)","(3732.02, 2366.517)",32.053
"(2871.468, 5367.779)","(2868.801, 5399.783)",32.115
"(1173.479, 8185.019)","(1177.035, 8153.015)",32.201
"(3538.218, 5252.209)","(3541.774, 5284.213)",32.201
"(4791.707, 1832.228)","(4795.263, 1800.224)",32.201
"(998.346, 9610.085)","(1018.793, 9634.977)",32.213
"(2983.482, 5487.794)","(2951.478, 5492.239)",32.311
"(3674.235, 4040.503)","(3654.677, 4066.284)",32.36
"(2987.038, 3676.013)","(2992.372, 3644.009)",32.445
"(2992.372, 3644.009)","(2987.038, 3676.013)",32.445
"(1058.798, 9414.505)","(1065.021, 9382.501)",32.603
"(1065.021, 9382.501)","(1058.798, 9414.505)",32.603
"(5038.849, 2533.649)","(5069.075, 2546.095)",32.688
"(5069.075, 2546.095)","(5038.849, 2533.649)",32.688
"(4634.354, 2207.386)","(4657.468, 2230.5)",32.688
"(3018.153, 4913.5)","(3030.599, 4883.274)",32.688
"(3030.599, 4883.274)","(3018.153, 4913.5)",32.688
"(4486.781, 1709.546)","(4459.222, 1691.766)",32.797
"(3684.903, 2400.299)","(3659.122, 2379.852)",32.905
"(3659.122, 2379.852)","(3684.903, 2400.299)",32.905
"(4553.456, 2259.837)","(4585.46, 2251.836)",32.989
"(3827.143, 2803.015)","(3840.478, 2772.79)",33.036
"(3840.478, 2772.79)","(3827.143, 2803.015)",33.036
"(3476.877, 3303.522)","(3457.319, 3276.852)",33.073
"(3457.319, 3276.852)","(3476.877, 3303.522)",33.073
"(798.322, 9900.788)","(824.992, 9881.23)",33.073
"(824.992, 9881.23)","(798.322, 9900.788)",33.073
"(922.782, 8824.209)","(913.003, 8792.205)",33.465
"(3137.279, 5145.529)","(3103.497, 5145.529)",33.782
"(1082.801, 9980.798)","(1085.468, 9947.016)",33.887
"(1549.526, 4986.398)","(1535.302, 4955.283)",34.212
"(1535.302, 4955.283)","(1549.526, 4986.398)",34.212
"(946.784, 9604.751)","(917.448, 9622.531)",34.303
"(3115.943, 5113.525)","(3103.497, 5145.529)",34.339
"(3501.769, 3279.519)","(3476.877, 3303.522)",34.58
"(1145.031, 8013.442)","(1179.702, 8013.442)",34.671
"(1179.702, 8013.442)","(1145.031, 8013.442)",34.671
"(1279.27, 8800.206)","(1253.489, 8776.203)",35.225
"(3365.752, 2384.297)","(3350.639, 2416.301)",35.393
"(2341.625, 5049.517)","(2372.74, 5066.408)",35.404
"(3260.85, 3667.123)","(3225.29, 3668.012)",35.571
"(1141.475, 8154.793)","(1177.035, 8153.015)",35.604
"(2899.027, 5589.14)","(2895.471, 5624.7)",35.737
"(1010.792, 8843.767)","(1042.796, 8859.769)",35.782
"(1042.796, 8859.769)","(1010.792, 8843.767)",35.782
"(2156.713, 5710.044)","(2180.716, 5683.374)",35.881
"(3936.49, 3145.28)","(3970.272, 3131.945)",36.319
"(3879.594, 4213.858)","(3863.592, 4246.751)",36.579
"(3014.597, 3876.038)","(3011.041, 3839.589)",36.622
"(1223.263, 9843.003)","(1237.487, 9876.785)",36.654
"(1237.487, 9876.785)","(1223.263, 9843.003)",36.654
"(3722.241, 3693.793)","(3691.126, 3674.235)",36.751
"(3691.126, 3674.235)","(3722.241, 3693.793)",36.751
"(1987.803, 7192.006)","(2024.252, 7198.229)",36.976
"(2024.252, 7198.229)","(1987.803, 7192.006)",36.976
"(1033.906, 9952.35)","(1061.465, 9927.458)",37.136
"(4560.568, 2296.286)","(4553.456, 2259.837)",37.136
"(3064.381, 4899.276)","(3030.599, 4883.274)",37.38
"(1161.033, 8047.224)","(1145.031, 8013.442)",37.38
"(1818.893, 6090.536)","(1851.786, 6072.756)",37.391
"(1851.786, 6072.756)","(1818.893, 6090.536)",37.391
"(3809.363, 4166.741)","(3846.701, 4161.407)",37.717
"(911.225, 9124.691)","(938.783, 9150.472)",37.737
"(938.783, 9150.472)","(911.225, 9124.691)",37.737
"(1822.449, 6277.226)","(1802.002, 6245.222)",37.978
"(1802.002, 6245.222)","(1822.449, 6277.226)",37.978
"(3873.371, 4469.89)","(3860.036, 4434.33)",37.978
"(2917.696, 5527.799)","(2955.034, 5519.798)",38.186
"(3019.042, 4961.506)","(3055.491, 4949.949)",38.237
"(3055.491, 4949.949)","(3019.042, 4961.506)",38.237
"(903.224, 9224.259)","(938.783, 9238.483)",38.298
"(2973.703, 5450.456)","(2983.482, 5487.794)",38.597
"(3568.444, 2941.699)","(3562.221, 2903.472)",38.73
"(3562.221, 2903.472)","(3568.444, 2941.699)",38.73
"(2872.357, 4271.643)","(2890.137, 4236.972)",38.964
"(2791.458, 3817.364)","(2755.899, 3801.362)",38.994
"(2755.899, 3801.362)","(2791.458, 3817.364)",38.994
"(1173.479, 8090.785)","(1135.252, 8082.784)",39.055
"(3749.8, 4064.506)","(3787.138, 4052.949)",39.086
"(4280.533, 2122.042)","(4241.417, 2120.264)",39.156
"(4241.417, 2120.264)","(4280.533, 2122.042)",39.156
"(3840.478, 2386.075)","(3803.14, 2372.74)",39.648
"(4906.388, 2339.847)","(4866.383, 2335.402)",40.251
"(4866.383, 2335.402)","(4906.388, 2339.847)",40.251
"(3629.785, 2407.411)","(3659.122, 2379.852)",40.251
"(3814.697, 4413.883)","(3842.256, 4443.22)",40.251
"(1466.849, 5101.079)","(1493.519, 5070.853)",40.31
"(1493.519, 5070.853)","(1466.849, 5101.079)",40.31
"(1257.045, 9820.778)","(1223.263, 9843.003)",40.437
"(1999.36, 7152.89)","(1987.803, 7192.006)",40.788
"(1906.015, 6429.245)","(1946.02, 6437.246)",40.797
"(4523.23, 1690.877)","(4486.781, 1709.546)",40.952
"(1277.492, 9857.227)","(1257.045, 9820.778)",41.792
"(4965.951, 1838.451)","(4990.843, 1872.233)",41.962
"(1057.02, 9617.197)","(1018.793, 9634.977)",42.16
