og_coord,closest_coord,dist
"(1.288, 2.814)","(1.208, 2.824)",0.081
"(1.754, 2.075)","(1.739, 1.995)",0.082
"(1.513, 1.561)","(1.585, 1.607)",0.085
"(1.585, 1.607)","(1.513, 1.561)",0.085
"(2.98, 3.487)","(2.907, 3.557)",0.101
"(3.173, 3.546)","(3.228, 3.633)",0.102
"(2.322, 1.0)","(2.296, 0.899)",0.104
"(3.167, 4.093)","(3.088, 4.175)",0.114
"(1.301, 1.44)","(1.345, 1.308)",0.139
"(1.499, 0.954)","(1.381, 0.867)",0.147
"(1.381, 0.867)","(1.499, 0.954)",0.147
"(1.81, 2.296)","(1.822, 2.142)",0.154
"(1.545, 2.083)","(1.401, 2.016)",0.159
"(2.309, 3.294)","(2.47, 3.2)",0.187
"(1.785, 2.679)","(1.977, 2.689)",0.193
"(1.106, 1.478)","(1.301, 1.44)",0.198
"(1.055, 1.13)","(0.883, 0.943)",0.254
"(2.349, 2.185)","(2.07, 2.196)",0.279
